,Longitude,Latitude,Temperature,Humidity,% Cloudiness,Wind Speed
Okha,142.95,53.59,-4.09,100,32,4.32
Saldanha,-6.55,41.42,5.31,88,32,0.77
Souillac,-0.6,45.6,11.07,93,0,2.1
Hithadhoo,73.08,-0.6,27.96,100,64,3.77
Lagoa,-8.45,37.14,11.89,87,0,2.6
Vila Velha,-38.6,-3.71,24.43,100,88,0.45
Hilo,-155.08,19.71,22.88,69,90,2.6
Marsh Harbour,-77.06,26.54,24.36,100,24,3.82
Mataura,168.86,-46.19,13.89,68,92,3.13
Vanavara,102.28,60.35,0.56,66,80,4.77
Puerto Colombia,-74.96,10.99,26.82,83,75,7.2
Lima,-77.04,-12.06,21.07,88,0,5.1
Barrow,-60.23,-38.31,22.26,72,80,5.57
Cabo San Lucas,-109.91,22.89,22.07,77,5,5.1
Naze,7.07,5.43,24.76,94,8,3.47
Gaeta,13.56,41.22,9.65,100,24,0.5
Rawson,-65.11,-43.3,24.06,32,88,5.42
Ilulissat,-51.1,69.22,-11.0,51,24,5.7
Bluff,149.07,-23.58,28.81,44,0,5.47
Sitka,-99.65,37.17,7.91,57,0,3.12
Broome,1.45,52.47,3.84,100,56,0.5
Mola di Bari,17.09,41.06,7.36,86,5,1.0
Belaya Gora,146.19,68.54,-9.59,93,44,4.02
Thompson,-97.86,55.74,-3.0,92,90,8.7
Airai,125.41,-8.93,26.76,73,24,0.72
Jamestown,138.6,-33.21,21.66,57,0,2.27
Chokurdakh,147.9,70.62,-12.54,91,20,5.97
Georgetown,-58.16,6.8,24.0,88,0,2.1
Grand Gaube,57.66,-20.01,24.0,94,40,1.5
Turukhansk,87.96,65.8,-2.64,91,68,5.52
Punta Arenas,-70.91,-53.16,10.0,93,90,1.5
Qaanaaq,-69.36,77.48,-21.59,72,0,2.82
Gopalpur,86.94,25.6,24.11,66,8,4.72
Chuy,-53.46,-33.69,18.51,94,20,3.42
Tucumcari,-103.73,35.17,10.2,30,1,6.2
Tynda,124.74,55.15,-0.59,57,0,2.12
Rikitea,-134.97,-23.12,24.51,100,0,7.47
Rio Gallegos,-69.22,-51.62,12.0,93,90,4.47
Kapaa,-159.32,22.08,21.74,73,90,5.1
Cap Malheureux,57.61,-19.98,23.99,94,40,1.5
Ushuaia,-68.31,-54.81,10.0,87,40,3.6
Manta,24.1,45.1,9.61,48,92,3.32
Richards Bay,32.06,-28.77,17.76,100,92,5.12
Tiksi,128.87,71.64,-5.84,81,32,1.72
Avarua,-159.78,-21.21,27.0,74,12,6.2
Nanortalik,-45.24,60.14,-2.89,100,92,13.22
La Ronge,-105.3,55.1,-2.0,58,75,5.1
Poso,120.75,-1.4,27.51,100,20,2.07
Ribeira Grande,-28.7,38.52,15.26,100,48,9.92
Norman Wells,-126.83,65.28,-4.0,73,75,4.1
Shelburne,-80.2,44.08,-0.79,74,20,6.2
Albany,-73.75,42.65,-2.9,39,1,1.5
Atikokan,-91.62,48.76,-1.74,74,64,2.67
Lavrentiya,-170.99,65.58,-2.04,100,48,0.52
Deputatskiy,139.9,69.3,-8.74,77,0,3.37
Kajiado,36.79,-1.85,18.0,100,75,3.1
Dafeng,120.46,33.2,15.56,73,56,2.92
Ancud,-73.83,-41.87,12.0,100,90,2.6
Kidal,1.41,18.44,24.56,33,0,5.02
Cervo,-46.24,-22.19,15.46,89,0,1.42
Atuona,-139.03,-9.8,28.06,100,8,4.42
Meulaboh,96.13,4.14,27.26,100,24,1.42
Imperia,8.02,43.88,9.43,89,0,2.6
Steinbach,-96.69,49.53,1.36,74,20,5.1
Cidreira,-50.22,-30.17,22.46,84,8,5.12
East London,27.91,-33.02,14.0,76,90,2.6
Bonthe,-12.5,7.53,27.71,83,44,1.67
Muros,-9.06,42.77,9.61,93,75,2.6
Sorland,12.69,67.67,3.0,100,75,1.0
Port Alfred,26.89,-33.59,13.89,94,92,0.45
Luanda,13.24,-8.83,27.01,97,20,3.67
Evans,-104.69,40.38,7.74,56,75,6.2
Saint-Philippe,-73.48,45.36,-0.19,77,1,7.7
Lebu,38.73,8.96,15.0,77,75,2.1
Linxia,103.21,35.6,5.11,44,76,1.22
Lorengau,147.27,-2.02,29.06,94,56,5.57
Butaritari,172.79,3.07,27.76,100,68,4.12
Suhbaatar,106.21,50.23,9.41,49,56,5.27
Vaini,74.49,15.34,20.0,88,0,1.62
Praia da Vitoria,-27.07,38.73,12.87,82,75,11.12
Huarmey,-78.15,-10.07,19.01,84,48,1.52
Ambilobe,49.05,-13.19,20.01,98,0,1.27
Port Lincoln,135.86,-34.72,22.11,75,0,5.22
Kiraoli,77.79,27.14,27.21,29,0,2.07
Gobabis,18.97,-22.45,14.56,84,0,1.57
Cape Town,18.42,-33.93,13.84,66,0,3.1
Ust-Nera,143.24,64.57,-9.39,71,8,1.17
Mar del Plata,-67.52,-46.43,18.51,54,0,12.07
Vila Franca do Campo,-25.43,37.72,13.36,71,40,7.7
Tianpeng,112.34,28.88,12.06,100,100,4.07
Saskylakh,114.09,71.97,-3.44,90,20,4.77
Talnakh,88.39,69.49,-5.44,93,68,4.82
Mkushi,29.4,-13.61,15.11,63,0,2.17
Vestmannaeyjar,-20.27,63.44,-0.59,100,0,8.72
Svetlogorsk,59.15,53.14,1.0,74,40,3.0
Borba,-7.46,38.81,6.96,89,20,1.67
Canutama,-64.38,-6.53,28.36,70,12,2.12
Yellowknife,-114.38,62.45,-9.28,57,40,10.8
Havelock,-76.9,34.88,5.23,60,1,4.1
Ilhabela,-45.36,-23.78,24.16,99,32,4.62
Tuktoyaktuk,-133.03,69.44,-14.0,84,40,4.1
Saint-Augustin,-0.61,44.83,12.51,81,0,2.6
Ahipara,173.16,-35.17,19.66,85,68,7.02
Fairbanks,-147.72,64.84,9.43,45,1,2.6
Severo-Kurilsk,156.12,50.68,-0.54,96,76,3.92
Kisangani,25.21,0.52,23.61,92,24,1.62
Rafaela,-61.49,-31.25,21.1,84,92,2.12
Hermanus,19.24,-34.42,12.84,89,0,0.89
Pochutla,-96.47,15.74,26.85,74,5,3.12
Itarema,-39.92,-2.92,23.26,100,80,3.17
Loa Janan,117.09,-0.58,27.76,85,48,1.32
Port Augusta,137.76,-32.49,26.89,26,0,5.1
Labuhan,115.51,-2.54,25.66,91,92,1.37
Nuuk,-51.74,64.17,-5.0,92,92,7.7
Polunochnoye,60.43,60.87,-3.59,78,0,3.72
Kodiak,-94.76,39.95,7.92,26,1,5.1
Slave Lake,-114.77,55.28,3.0,55,40,4.1
Evanston,-87.69,42.04,5.64,65,90,5.1
Zlobin,14.65,45.29,10.56,44,0,1.0
Hobart,147.33,-42.88,18.8,42,75,1.5
Vanimo,141.3,-2.67,28.71,98,20,7.47
Nhulunbuy,136.78,-12.18,26.0,94,75,7.7
Marmaris,28.27,36.85,9.64,100,0,1.5
Chumikan,135.31,54.72,1.41,61,0,2.77
Mandan,-100.89,46.83,3.09,80,75,1.5
Katsuura,134.5,33.93,10.4,37,75,6.2
Simbahan,120.58,6.3,27.61,100,0,4.92
Badvel,79.07,14.74,32.0,52,0,2.1
Upernavik,-56.15,72.79,-10.04,100,48,2.87
Hollister,-121.4,36.85,14.76,72,20,5.1
Hofn,-15.21,64.25,1.41,100,56,12.22
Maumere,122.22,-8.63,29.06,97,0,1.07
Juba,26.93,57.82,-2.15,92,0,4.6
Faya,42.45,18.39,14.03,87,20,4.6
Mount Pleasant,-94.97,33.16,6.46,65,1,1.67
Tabou,-7.36,4.42,28.91,97,8,3.77
Susanville,-120.65,40.42,7.3,70,90,2.1
Muzhi,64.7,65.4,-7.54,69,0,4.87
Vao,26.19,59.1,-3.14,84,20,4.02
Belmopan,-88.77,17.25,26.17,65,40,2.1
Busselton,115.35,-33.64,22.34,32,0,2.47
Haines Junction,-137.51,60.75,5.51,48,0,0.92
Tazovskiy,78.7,67.47,-3.29,96,76,4.37
Sambava,50.17,-14.27,26.81,100,88,3.22
Hailey,-114.32,43.52,2.71,69,90,0.92
Kuruman,23.43,-27.46,13.89,33,0,1.42
Comodoro Rivadavia,-67.48,-45.87,20.0,45,0,10.8
Dikson,80.55,73.51,-3.44,97,76,11.27
Blois,1.33,47.59,12.17,81,88,1.0
Coos Bay,-124.22,43.37,12.03,93,90,1.27
Kiunga,141.3,-6.12,27.31,83,92,1.27
New Norfolk,147.06,-42.78,18.8,42,75,1.5
Colac,143.59,-38.34,21.79,45,0,1.79
Hovd,10.7,63.83,-0.26,95,0,7.7
Makakilo City,-158.09,21.35,25.05,54,1,2.1
Egvekinot,-179.17,66.32,-0.59,93,44,1.42
Bani Walid,14.0,31.76,10.96,84,0,5.82
Zyryanka,150.89,65.73,-9.29,69,68,1.97
Weligama,80.42,5.97,28.36,89,8,1.32
Tuatapere,167.69,-46.13,13.89,68,92,3.13
Beltangadi,75.3,13.98,25.11,88,0,1.57
Castro,-73.76,-42.48,11.0,100,90,2.47
Provideniya,-173.23,64.42,0.0,100,90,4.0
Rome,12.48,41.89,10.13,66,0,1.0
Kahului,-156.47,20.89,24.63,57,40,5.1
Kamenka,44.05,53.19,3.89,62,0,4.12
Kitimat,-128.69,54.02,12.0,32,5,3.6
Esperance,-61.45,10.24,24.3,83,20,2.1
Praia,-43.81,-20.25,20.0,88,0,2.1
Clyde River,-68.59,70.47,-18.0,84,90,4.1
Petropavlovsk-Kamchatskiy,158.65,53.05,3.0,55,40,4.0
Port Elizabeth,-74.98,39.31,0.91,64,1,0.62
Saurimo,20.4,-9.66,17.86,93,24,1.12
Nampa,-116.56,43.57,11.66,47,90,1.37
Quatre Cocos,57.76,-20.21,24.39,94,40,1.5
Invermere,-116.03,50.51,0.11,59,32,0.72
Kruisfontein,24.73,-34.0,13.61,93,88,1.97
Codrington,153.24,-28.95,19.87,94,75,4.1
Qinhuangdao,119.59,39.94,11.16,27,20,1.67
